,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Lysinibacter sp. HNR,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,13,0,0,0
Actinomyces israelii,0,13,23,15,0,0,0,20,11,0,0,13,13,0,0,11,0,13,14,13,30
Mycobacterium marseillense,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,21,0,0,16
Nostoc sp. C057,0,0,0,0,0,0,19,26,23,27,0,0,0,0,0,0,0,20,19,0,33
Kiritimatiella glycovorans,0,0,0,0,0,0,0,15,12,0,0,0,23,19,18,16,18,26,22,19,0
Candidatus Blochmannia ocreatus,0,27,10,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera stantonii,96,48,79,53,51,33,98,161,56,64,98,63,203,172,234,154,120,168,137,93,158
Bacillus fonticola,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,25,12,10,17
Companilactobacillus futsaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,0
Azospirillum baldaniorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Aquiflexum balticum,60,19,60,16,20,0,0,16,0,0,13,55,15,20,17,24,34,39,27,19,17
Caldichromatium japonicum,0,0,27,10,0,0,0,16,0,0,0,0,0,16,14,17,19,0,0,0,15
Ralstonia pseudosolanacearum,58,0,0,0,0,0,0,45,0,0,0,79,48,39,41,42,59,50,65,0,41
Gimesia algae,37,0,40,0,11,0,0,18,0,0,0,36,0,0,0,13,0,0,18,0,0
Cellulosimicrobium protaetiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,13,0,0
Streptococcus uberis,21,10,35,10,14,17,21,42,18,12,26,19,39,23,11,35,24,31,42,32,25
Candidatus Planktophila vernalis,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Thiohalobacter thiocyanaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
Arcobacter roscoffensis,33,29,23,10,27,17,17,16,14,0,19,21,11,24,24,23,22,69,37,27,25
Vibrio sp. 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Arthrobacter gengyunqii,0,0,0,0,0,0,0,12,24,0,0,0,15,0,12,21,30,48,28,31,0
Liberibacter crescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,15,0
Simiduia sp. 21SJ11W-1,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,10,0,13,0
Mycobacterium senriense,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Gillisia sp. Hel1_33_143,19,0,14,0,0,0,0,0,0,0,0,20,0,0,0,0,11,30,25,0,14
Paenibacillus tianjinensis,40,0,16,0,0,23,53,63,51,42,75,0,152,89,156,62,41,47,55,36,64
Lactobacillus acidophilus,18,11,41,0,26,20,0,20,0,0,23,29,0,20,12,14,17,21,16,12,12
Veillonella parvula,653,106,141,164,279,33,83,117,88,29,44,4492,41,47,35,59,46,123,58,75,99
Arachnia rubra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,12,0
Neisseria elongata,33,0,0,0,0,0,0,29,0,0,0,12,27,0,52,29,0,30,19,0,36
Mycoplasma sp. SG1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteolibacter sp. SL250,25,0,0,0,0,0,18,31,12,0,17,45,14,30,30,17,30,23,23,20,30
Flavobacterium ammoniigenes,0,31,0,22,27,20,37,0,16,21,18,0,15,0,0,0,20,36,35,14,0
Turneriella parva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Bifidobacterium bifidum,276,0,0,17,0,0,21,335,16,21,34,241,253,582,44,48,719,1002,82,28,77
Buttiauxella agrestis,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Sinorhizobium numidicum,0,0,0,0,0,0,0,17,12,0,0,0,15,11,11,14,0,0,11,14,11
Enterococcus lactis,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas enteropelogenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Prosthecochloris sp. SCSIO W1103,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Bacillus toyonensis,57,0,0,0,0,26,75,62,44,42,0,58,0,30,31,39,75,148,87,86,34
Peribacillus frigoritolerans,266,31,74,38,31,93,159,143,86,116,96,285,123,116,133,245,143,290,215,174,208
Granulicella sp. 5B5,30,0,0,0,0,0,0,15,17,0,0,31,11,15,20,21,10,0,17,0,27
Erysipelothrix phage SE-1,0,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,12,0,0
Pseudomonas viridiflava,25,15,20,0,21,0,26,45,0,0,22,12,57,41,85,23,30,29,32,20,43
Synechococcus sp. PCC 7502,0,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,21,28,18,14,0
Acinetobacter sp. Marseille-Q1620,22,0,25,21,16,14,0,13,0,0,15,36,12,0,0,23,26,34,22,18,10
Chelatococcus daeguensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,15,0
Desulfosporosinus meridiei,35,20,44,26,19,15,23,38,0,19,20,49,52,40,69,37,28,53,44,37,31
Acidihalobacter aeolianus,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,12,0,10,0,0
Nostoc sp. UHCC 0926,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Kaistella jeonii,0,0,0,0,0,0,14,0,0,0,16,14,11,0,12,0,14,19,18,13,11
Sutterella megalosphaeroides,167,18,15,0,11,19,31,41,25,18,21,62,29,24,22,336,620,274,288,1063,30
Alicyclobacillus acidoterrestris,0,0,0,0,0,0,0,0,0,0,12,0,14,11,14,0,0,0,0,0,11
Lactobacillus ultunensis,0,13,12,10,0,0,0,0,0,0,13,11,0,0,0,0,0,14,14,0,20
Granulicella sp. WH15,11,13,23,12,0,0,0,24,0,0,0,13,27,13,13,14,20,21,27,28,36
Nocardioides sp. TF02-7,0,0,0,0,0,16,25,46,20,14,0,0,31,21,38,32,13,27,27,24,18
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,15,12,0,0,0,0,20,53,14,22,42,79,0,0,0,12,23,37,14,31,14
Bradyrhizobium sp. SK17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella bronchiseptica,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Kocuria rosea,27,0,0,22,0,0,28,58,36,33,27,0,40,35,58,54,51,47,50,31,32
Thermotoga profunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0,0
Thiospirochaeta perfilievii,60,0,11,0,0,0,20,17,12,0,0,124,11,14,13,20,24,46,27,20,33
Caballeronia zhejiangensis,0,0,0,0,0,20,21,47,22,15,17,0,26,20,30,32,36,26,26,27,0
Lysinibacillus sp. ACHW1.5,88,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Vespertiliibacter pulmonis,0,0,0,0,0,11,18,13,12,13,22,0,32,26,37,11,10,10,12,10,40
Caulifigura coniformis,0,0,0,0,0,0,15,31,13,12,0,0,21,20,29,19,16,25,0,12,16
Lactiplantibacillus carotarum,10,0,0,0,0,0,11,27,0,0,15,30,80,39,100,11,15,24,14,0,12
Methanocaldococcus jannaschii,33,0,0,0,0,0,0,0,0,0,0,42,0,0,0,16,13,0,16,0,0
Alistipes dispar,1356,861,650,1532,1017,1133,1632,2808,1534,1374,1314,647,2027,2021,1925,1193,1427,956,1543,1357,3484
Microvirga thermotolerans,14,0,0,0,0,0,0,0,0,0,0,12,12,0,11,0,0,14,15,0,12
Paraburkholderia megapolitana,0,0,0,0,0,17,30,82,23,12,0,0,43,42,75,59,49,52,62,19,11
Corynebacterium gerontici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Streptomyces tuirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
Acinetobacter sp. CS-2,16,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,20,0,0
Rhizobium sp. TH2,0,0,0,0,0,0,0,21,0,38,0,0,13,0,13,15,23,19,19,15,0
Arthrobacter sp. PAMC25284,21,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,17,23,27,24,24
Sulfurospirillum cavolei,15,0,0,0,0,0,19,10,0,17,0,0,0,13,10,0,0,0,18,0,0
Gilliamella apis,92,10,0,0,0,16,37,25,0,0,25,60,39,22,54,17,22,29,42,11,10
Polaribacter dokdonensis,16,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Salinibacterium sp. ZJ70,0,0,0,0,0,0,0,19,0,0,0,0,30,24,28,0,12,0,0,0,31
Lactococcus garvieae,103,0,0,0,0,0,18,27,18,0,22,83,40,24,41,20,38,63,49,39,29
Variovorax sp. SRS16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,0,29,0
Polaribacter sp. KT25b,76,0,0,0,0,13,20,0,0,0,12,50,0,0,23,24,23,58,39,32,31
Leptotrichia sp. oral taxon 847,24,0,14,0,14,0,0,15,0,0,0,43,0,24,26,23,16,26,20,0,17
uncultured Desulfobulbus sp.,89,28,45,25,27,16,25,82,24,18,29,37,67,60,97,41,47,50,65,33,79
Campylobacter sp. RM16192,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21
Dietzia sp. B32,0,0,0,0,0,0,0,41,0,0,0,0,27,0,34,36,0,0,35,0,26
Megasphaera massiliensis,57,27,23,13,37,21,37,62,27,26,36,55,51,46,91,89,59,77,64,32,66
Neobacillus sp. PS2-9,15,29,35,17,17,18,23,40,17,18,19,26,22,34,20,52,32,70,70,34,54
Thermococcus sp. P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Segniliparus rotundus,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,10,0,0,0,0,0
Shouchella miscanthi,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithinimicrobium cryptoxanthini,0,0,0,0,0,0,0,17,0,0,0,0,11,19,15,0,10,0,15,0,0
Kaistella sp. 97-N-M2,42,0,10,11,0,0,0,17,0,0,0,46,18,16,34,0,12,17,14,0,14
Sphaerobacter thermophilus,0,0,0,0,0,0,15,44,0,0,10,0,27,14,24,20,21,18,22,11,18
Microbacterium schleiferi,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,21,0,13,0,0,0
Xenorhabdus poinarii,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,11,0,23
Enterococcus casseliflavus,71,38,78,45,36,41,61,68,62,84,115,164,127,94,68,57,50,78,114,49,114
Actinomyces sp. 432,17,0,12,14,14,0,0,34,18,20,0,0,18,19,24,11,24,16,19,0,18
Acuticoccus sp. MNP-M23,20,0,0,0,0,0,24,42,13,13,14,18,19,22,28,21,27,23,23,26,19
Thermosediminibacter oceani,49,0,18,0,0,11,14,19,0,0,10,29,28,17,29,13,12,10,17,11,19
Clostridium sp. SY8519,512,490,1111,450,399,261,517,592,213,284,484,534,436,385,431,857,474,596,643,397,799
Nonlabens dokdonensis,95,0,0,0,0,25,41,12,15,24,31,57,25,0,0,18,29,64,65,55,0
Labrys sp. KNU-23,0,0,0,0,0,0,12,27,0,12,12,0,29,17,22,22,23,18,18,22,27
Fastidiosipila sanguinis,27,31,40,10,13,0,28,46,20,0,33,22,13,35,48,36,48,75,64,38,67
Suicoccus acidiformans,14,0,0,0,0,0,0,10,0,0,0,19,0,0,0,11,0,0,14,0,0
Flavobacterium eburneipallidum,110,0,0,0,0,0,0,0,0,0,0,38,13,10,13,25,13,26,23,15,12
Streptomyces alboniger,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,0,0,15,0,24
Vibrio alfacsensis,0,0,17,0,0,0,0,0,0,27,0,0,0,0,0,14,21,19,0,0,0
Halapricum desulfuricans,21,0,0,12,0,0,0,25,0,0,0,51,0,15,13,0,12,27,26,20,0
Sphingomonas sp. LM7,15,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Vagococcus intermedius,14,0,0,0,0,0,0,0,0,0,16,29,0,0,0,0,0,30,29,0,25
Streptomyces broussonetiae,0,0,0,0,0,0,0,17,0,0,0,12,29,26,25,23,20,0,23,18,33
Bradyrhizobium quebecense,37,0,0,0,0,0,0,22,0,0,27,110,0,0,0,0,19,0,0,0,49
Vagococcus lutrae,31,11,19,11,0,36,52,54,29,32,33,39,40,36,54,38,43,109,72,39,29
Verrucomicrobium sp. GAS474,0,0,0,0,0,0,0,27,0,0,0,0,23,18,32,11,10,11,14,10,13
Nitrospirillum amazonense,38,16,36,31,30,0,21,36,22,38,55,53,37,58,45,31,49,30,49,29,27
Seonamhaeicola sp. ML3,18,0,0,0,0,13,26,0,0,0,16,15,0,0,0,0,0,22,14,10,0
Chroococcidiopsis thermalis,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shewanella sediminis,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,12,12,0,10
Paraburkholderia bryophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27
Kehishuvirus primarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
Bradyrhizobium paxllaeri,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,13,22,0,0,0
Flavobacterium sp. F-323,92,0,0,0,0,38,44,52,26,41,48,122,51,25,45,15,32,69,162,38,19
Bradyrhizobium erythrophlei,55,24,30,39,21,18,40,63,20,36,18,29,56,36,47,56,78,72,65,46,80
Ancylobacter pratisalsi,17,0,13,14,0,0,0,15,0,0,0,0,21,0,0,0,0,0,16,13,21
Streptomyces sp. FIT100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Mycolicibacterium pallens,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0
Pyramidobacter sp. YE332,44,43,44,39,44,31,69,120,58,66,43,43,95,94,105,111,124,123,98,102,109
Tabrizicola piscis,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,13,17,19,0,0
Arthrobacter sp. 24S4-2,0,0,0,0,0,0,0,31,0,35,0,17,33,17,23,22,30,28,15,20,32
Campylobacter pinnipediorum,27,12,34,20,0,13,38,23,0,17,32,25,10,13,15,17,26,44,49,21,97
Streptomyces ferrugineus,0,0,34,20,0,0,36,29,0,0,0,0,29,23,46,18,25,33,28,18,30
Legionella jordanis,11,0,15,0,0,0,0,0,0,0,0,19,0,0,0,0,11,0,0,0,0
Burkholderia mayonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,18,0,0
Protaetiibacter larvae,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,12,15,12,0,0,0
Halobacteriovorax sp. BALOs_7,0,0,0,0,0,10,0,12,0,0,0,0,13,17,25,0,12,44,20,11,17
Thiomicrorhabdus lithotrophica,19,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,10,0,0,19
Fluoribacter dumoffii,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polybotosvirus Atuph07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Nocardioides sp. S5,0,0,0,0,0,0,0,15,0,0,0,0,15,0,16,0,0,0,15,0,19
Borrelia miyamotoi,17,0,0,0,0,22,26,17,0,0,30,0,21,25,0,20,39,28,33,14,0
Acinetobacter sp. ANC 7201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Anaerocolumna sedimenticola,318,232,364,134,172,192,331,344,151,229,354,444,377,284,412,493,291,489,508,223,464
Brenneria rubrifaciens,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,13,0,20
Ureaplasma urealyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,19,30,12,0
Pseudarthrobacter chlorophenolicus,27,0,0,0,0,0,0,25,0,0,0,20,28,0,0,0,0,0,0,0,0
Agathobaculum sp. NTUH-O15-33,1205,172,280,247,204,206,496,967,315,328,353,291,623,518,692,585,568,619,653,442,1705
Jannaschia sp. W003,0,0,0,0,0,0,0,10,0,0,0,0,15,0,24,0,17,15,0,14,0
Paraburkholderia phymatum,0,0,12,0,0,0,0,19,0,0,0,0,20,0,0,0,23,16,17,0,0
Thermococcus guaymasensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Nitrosophilus kaiyonis,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,23,12,0,26
Candidatus Nitrosopumilus sediminis,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,13,0,0,0
Jeotgalibaca arthritidis,0,0,0,0,0,0,16,30,13,0,46,0,0,0,54,0,17,40,16,19,0
Sutcliffiella horikoshii,111,20,35,22,0,43,41,47,22,16,42,116,45,46,71,95,81,115,103,68,54
Rhodovulum sulfidophilum,0,0,0,0,0,0,0,23,0,0,0,0,22,0,0,0,23,20,18,24,26
Cellulosilyticum lentocellum,128,45,72,30,34,52,76,82,33,28,73,285,47,82,73,121,85,199,96,80,79
Pseudomonas luteola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,15
Sulfolobus acidocaldarius,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,14,0,12,0
Psychroflexus torquis,57,0,0,0,0,0,16,19,0,0,21,30,0,12,17,0,0,14,17,20,21
Parvularcula bermudensis,16,0,0,0,0,0,0,0,0,0,0,49,0,0,0,13,15,14,17,0,0
Pseudoalteromonas sp. A25,18,15,24,0,0,0,0,14,0,0,0,41,0,0,0,0,0,16,0,0,0
Moraxella sp. ZY171148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Gordonia mangrovi,0,0,0,0,0,0,0,19,0,0,0,0,0,0,15,0,0,0,0,11,17
Acinetobacter sp. TAC-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,29
Massilia sp. DM-R-R2A-13,28,0,0,0,0,0,12,24,0,0,0,22,15,0,19,30,14,23,28,32,0
Paenalcaligenes faecalis,16,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,11,0,0
Aeribacillus composti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Micromonospora krabiensis,0,0,14,0,0,0,17,21,0,0,0,0,0,0,0,15,0,15,13,0,76
Alteromonas sp. 76-1,0,21,27,23,24,0,22,38,0,0,32,0,39,32,0,28,0,0,45,0,0
Paenibacillus sp. 32O-W,41,14,30,0,24,16,44,82,25,29,29,70,88,60,77,59,53,60,55,38,67
Bacteroides luhongzhouii,4584,810,1264,1359,1326,1148,1187,603,248,342,443,1790,614,500,164,278,494,654,820,766,6384
Mucilaginibacter sabulilitoris,78,31,0,15,30,13,13,22,0,0,0,66,0,14,17,29,28,36,50,30,30
Micromonospora sp. LH3U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,33,35,27,30,18
Delftia lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Streptomyces fradiae,0,0,0,0,0,0,0,81,0,0,0,0,97,0,79,0,0,0,101,73,0
Mesorhizobium sp. NZP2298,48,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,62
Phreatobacter stygius,0,0,0,0,0,0,0,32,0,14,15,0,19,30,23,20,13,14,11,12,25
Natrialba magadii,0,0,0,0,0,0,0,0,0,0,0,0,24,19,26,19,0,12,15,0,0
Carnobacterium sp. 17-4,40,0,0,0,0,0,0,0,0,0,0,28,0,0,0,63,0,50,31,0,35
Aurodevirus hiberniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,25,51,0,0
Dokdonia sp. 4H-3-7-5,52,25,0,17,37,0,0,27,0,0,0,72,0,34,0,0,0,30,35,24,0
Microbacterium sp. zg-Y625,0,0,0,0,0,0,0,18,24,0,0,0,25,0,0,0,0,17,0,0,0
Citricoccus sp. SGAir0253,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,13,25,16,0,0
Sphingomonas sp. HDW15A,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,19,10,10,10,0
Jeotgalibaca ciconiae,52,22,28,27,0,22,42,36,12,11,55,45,39,29,0,44,34,43,53,18,54
Thiomicrospira cyclica,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0
Enterocloster clostridioformis,21629,1229,1966,1469,992,532,1041,1642,604,711,1162,14338,1261,1114,1655,1469,1007,1534,1382,840,4219
Rhodococcus sp. WB9,0,0,0,0,0,0,0,0,0,0,79,0,67,0,95,0,0,0,0,0,0
Flavobacterium indicum,42,17,0,0,0,0,0,0,0,0,0,35,0,0,10,0,16,31,24,27,0
Azospirillum lipoferum,22,0,0,0,0,0,16,0,0,0,0,0,0,0,18,0,24,14,20,0,41
Halopseudomonas oceani,0,0,14,0,0,0,0,26,0,0,0,0,0,0,0,0,17,30,18,0,40
Streptomyces sp. MA3_2.13,20,0,11,11,0,18,0,28,0,16,0,11,23,12,14,28,25,33,19,22,45
Reinekea forsetii,22,0,0,11,0,0,15,0,0,0,0,11,10,0,0,0,0,0,16,0,14
Klebsiella sp. WP8-S18-ESBL-06,0,0,0,0,0,0,0,0,0,0,0,0,49,0,75,0,0,0,0,0,0
Candidatus Promineifilum breve,13,17,13,0,11,0,21,42,20,15,15,11,26,31,41,23,33,31,27,19,36
Bradyrhizobium icense,0,0,0,16,0,0,0,0,0,0,0,14,0,0,0,0,24,15,11,12,21
Leptospira kmetyi,19,14,11,0,0,0,17,0,0,0,0,0,12,17,50,0,0,13,19,0,0
