,sum,noZero,rowMeans
Bifidobacterium bifidum,0.125342365255375,17,0.007373080309139707
Sinorhizobium numidicum,0.0037853466698933003,9,0.00042059407443258894
Bacillus toyonensis,0.028090051748834003,15,0.0018726701165889335
Peribacillus frigoritolerans,0.09271586890607349,21,0.00441504137647969
Granulicella sp. 5B5,0.0063311654957308,11,0.000575560499611891
Pseudomonas viridiflava,0.0172904667742257,17,0.0010170862808368058
Synechococcus sp. PCC 7502,0.0039116744628282,6,0.0006519457438046999
Acinetobacter sp. Marseille-Q1620,0.009143960547889,15,0.0006095973698592666
Desulfosporosinus meridiei,0.0217560083628605,20,0.0010878004181430249
Kaistella jeonii,0.0042774847891222,10,0.00042774847891222
Sutterella megalosphaeroides,0.11058415604886981,20,0.0055292078024434905
Alicyclobacillus acidoterrestris,0.0019346012129582,5,0.00038692024259164004
Lactobacillus ultunensis,0.0027836226255859,8,0.0003479528281982375
Granulicella sp. WH15,0.0088654554399919,15,0.0005910303626661267
Nocardioides sp. TF02-7,0.0115753323327585,14,0.0008268094523398928
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,0.0108553438128475,14,0.0007753817009176785
Kocuria rosea,0.020340583115038096,16,0.001271286444689881
Thiospirochaeta perfilievii,0.0125526505991581,15,0.0008368433732772067
Caballeronia zhejiangensis,0.012300646536834,14,0.0008786176097738571
Vespertiliibacter pulmonis,0.008733776052592701,15,0.0005822517368395134
Caulifigura coniformis,0.007678521002293101,12,0.0006398767501910918
Lactiplantibacillus carotarum,0.012820836904087501,13,0.0009862182233913463
Methanocaldococcus jannaschii,0.0032878225269151002,5,0.0006575645053830201
Alistipes dispar,0.9571743559881116,21,0.04557973123752913
Microvirga thermotolerans,0.0024553745842574005,7,0.0003507677977510572
Paraburkholderia megapolitana,0.019600252772925,14,0.0014000180552089286
Rhizobium sp. TH2,0.0059263599823427,9,0.0006584844424825223
Arthrobacter sp. PAMC25284,0.0047838307536063,8,0.0005979788442007875
Sulfurospirillum cavolei,0.0029923030725325,7,0.00042747186750464284
Gilliamella apis,0.014865016576643098,16,0.0009290635360401936
Salinibacterium sp. ZJ70,0.0045630713022224,6,0.0007605118837037333
Lactococcus garvieae,0.0178842461913278,15,0.0011922830794218534
Polaribacter sp. KT25b,0.0116372262103833,12,0.000969768850865275
Leptotrichia sp. oral taxon 847,0.0081353842684161,12,0.0006779486890346751
uncultured Desulfobulbus sp.,0.029829425079639694,21,0.0014204488133161758
Dietzia sp. B32,0.006182717724489899,6,0.00103045295408165
Megasphaera massiliensis,0.0314872378888675,21,0.001499392280422262
Neobacillus sp. PS2-9,0.020518630431609,21,0.0009770776396004286
Ornithinimicrobium cryptoxanthini,0.002956097259507,6,0.0004926828765845
Kaistella sp. 97-N-M2,0.0071505584995111005,12,0.0005958798749592584
Sphaerobacter thermophilus,0.007704924290365601,12,0.0006420770241971334
Xenorhabdus poinarii,0.0023647198255735,5,0.00047294396511470005
Enterococcus casseliflavus,0.047407560677878005,21,0.002257502889422762
Actinomyces sp. 432,0.0087116962527311,15,0.0005807797501820733
Acuticoccus sp. MNP-M23,0.0109756714076648,16,0.00068597946297905
Thermosediminibacter oceani,0.0088819566229354,16,0.0005551222889334625
Clostridium sp. SY8519,0.32759859704528965,21,0.01559993319263284
Nonlabens dokdonensis,0.0159805586829986,14,0.0011414684773570429
Labrys sp. KNU-23,0.008388230373063401,13,0.0006452484902356463
Fastidiosipila sanguinis,0.0214258898555021,19,0.001127678413447479
Suicoccus acidiformans,0.0017929309591140001,5,0.00035858619182280003
Flavobacterium eburneipallidum,0.0082638768918983,11,0.0007512615356271182
Vibrio alfacsensis,0.0034495324900644,5,0.00068990649801288
Halapricum desulfuricans,0.0064584169818084,10,0.00064584169818084
Vagococcus intermedius,0.0035532148902142997,6,0.0005922024817023833
Streptomyces broussonetiae,0.0073848972699297,10,0.00073848972699297
Bradyrhizobium quebecense,0.0060564425592477,6,0.00100940709320795
Vagococcus lutrae,0.025262053260760697,20,0.001263102663038035
Verrucomicrobium sp. GAS474,0.0056462071869519,10,0.00056462071869519
Nitrospirillum amazonense,0.022506039311863398,20,0.0011253019655931699
Seonamhaeicola sp. ML3,0.0036678069502316,8,0.00045847586877895
Shewanella sediminis,0.0021150551511542,6,0.00035250919185903336
Flavobacterium sp. F-323,0.0263644717953847,17,0.0015508512820814528
Bradyrhizobium erythrophlei,0.0285786885876489,21,0.0013608899327451857
Ancylobacter pratisalsi,0.0032762621436302,8,0.000409532767953775
Pyramidobacter sp. YE332,0.051316726132788607,21,0.002443653625370886
Tabrizicola piscis,0.0022156985854513,5,0.00044313971709026006
Arthrobacter sp. 24S4-2,0.009716547562877102,12,0.0008097122969064251
Campylobacter pinnipediorum,0.0148576998831747,19,0.0007819842043776159
Streptomyces ferrugineus,0.011712238025134202,13,0.0009009413865487848
Protaetiibacter larvae,0.0022683537408733,5,0.00045367074817466
Halobacteriovorax sp. BALOs_7,0.0060076496100049,10,0.0006007649610004901
Nocardioides sp. S5,0.0022153573051427,5,0.00044307146102854
Borrelia miyamotoi,0.0093683605623754,12,0.0007806967135312834
Anaerocolumna sedimenticola,0.20756857905861031,21,0.009884218050410015
Ureaplasma urealyticum,0.0032776358033471003,5,0.0006555271606694201
Agathobaculum sp. NTUH-O15-33,0.33284943608521145,21,0.01584997314691483
Jannaschia sp. W003,0.003422873158538,6,0.0005704788597563333
Paraburkholderia phymatum,0.0032974013973563997,6,0.0005495668995594
Jeotgalibaca arthritidis,0.0081365244523799,9,0.0009040582724866555
Sutcliffiella horikoshii,0.0368329623993297,20,0.0018416481199664849
Rhodovulum sulfidophilum,0.0046398564461437,7,0.0006628366351633856
Cellulosilyticum lentocellum,0.054035905544053596,21,0.0025731383592406476
Psychroflexus torquis,0.0063939679708688,11,0.0005812698155335272
Parvularcula bermudensis,0.0035609837798094004,6,0.0005934972966349
Pseudoalteromonas sp. A25,0.0032677558718413003,6,0.0005446259786402167
Massilia sp. DM-R-R2A-13,0.0077529182272502994,11,0.0007048107479318454
Micromonospora krabiensis,0.0042309590811888,7,0.0006044227258841143
Alteromonas sp. 76-1,0.009825449871023201,11,0.0008932227155475637
Paenibacillus sp. 32O-W,0.0296926666582377,20,0.001484633332911885
Bacteroides luhongzhouii,0.6523316494279116,21,0.031063411877519598
Mucilaginibacter sabulilitoris,0.014668763691255101,16,0.0009167977307034438
Micromonospora sp. LH3U1,0.0056462677537747995,6,0.0009410446256291333
Streptomyces fradiae,0.013364946983869998,5,0.0026729893967739997
Phreatobacter stygius,0.007375723139469399,12,0.0006146435949557833
Natrialba magadii,0.0042242153955133,6,0.0007040358992522166
Carnobacterium sp. 17-4,0.0073594169155685,6,0.0012265694859280834
Dokdonia sp. 4H-3-7-5,0.009911147110962902,10,0.0009911147110962903
Citricoccus sp. SGAir0253,0.0027663981572398,5,0.00055327963144796
Sphingomonas sp. HDW15A,0.0026742620791632998,6,0.00044571034652721663
Jeotgalibaca ciconiae,0.0191537316532736,19,0.0010080911396459788
Enterocloster clostridioformis,1.5207419961801936,21,0.07241628553239017
Flavobacterium indicum,0.0059531517070072005,8,0.0007441439633759001
Azospirillum lipoferum,0.0044266746272674995,7,0.0006323820896096427
Halopseudomonas oceani,0.0039317372935552,6,0.0006552895489258668
Streptomyces sp. MA3_2.13,0.0102941889806427,16,0.0006433868112901687
Reinekea forsetii,0.0023299335985143,7,0.0003328476569306143
Candidatus Promineifilum breve,0.014110059352386,19,0.0007426347027571579
Bradyrhizobium icense,0.0033873959363655997,7,0.0004839137051950857
Leptospira kmetyi,0.0057128788886876,9,0.000634764320965289
Roseimicrobium sp. ORNL1,0.012730978943802903,18,0.0007072766079890501
Hymenobacter sp. APR13,0.0055923010045291,5,0.0011184602009058201
Levilactobacillus suantsaii,0.0098709990297244,17,0.0005806470017484941
Marispirochaeta aestuarii,0.022979738211245,20,0.00114898691056225
Thalassobaculum sp. OXR-137,0.0171987520779455,20,0.0008599376038972749
Photobacterium sp. DA100,0.0048556488709174,9,0.0005395165412130445
Pseudooceanicola spongiae,0.0048425861582088,10,0.00048425861582087996
Streptomyces finlayi,0.0074132334480464,11,0.0006739303134587637
Granulicella mallensis,0.0050424127655437,11,0.00045840116050397273
Serratia odorifera,0.0023377589645794,5,0.00046755179291588
Blastococcus sp. PRF04-17,0.0032521215957319,7,0.00046458879939027147
Tupanvirus soda lake,0.0023267451757238,5,0.00046534903514476
Pseudomonas sp. ZM23,0.0109711718096709,11,0.0009973792554246273
Aliarcobacter lanthieri,0.006724525704097701,7,0.0009606465291568144
Desulfuromonas soudanensis,0.008284131923390298,12,0.0006903443269491915
uncultured Tolumonas sp.,0.025534566922577495,21,0.001215931758217976
Halomonas sp. Y3,0.007047439907848201,7,0.0010067771296926001
Veillonella rodentium,0.0106046870277012,15,0.0007069791351800801
Faecalibacterium sp. I3-3-89,4.6291895497209525,21,0.22043759760575965
Paenibacillus sp. IHB B 3084,0.009116236410897201,13,0.0007012489546844001
Labrenzia sp. PHM005,0.006640093307393099,11,0.0006036448461266454
Mycoplasmopsis anatis,0.0033711132525079002,8,0.00042138915656348753
Anaerotignum propionicum,0.0919031929900259,21,0.004376342523334567
Pseudomonas sp. MH9.2,0.003775371038838,6,0.0006292285064730001
Neisseria shayeganii,0.0020150388939229004,5,0.00040300777878458005
Sinomonas sp. R1AF57,0.0025732295415816,6,0.00042887159026360004
Phocaeicola salanitronis,0.7285977505814529,21,0.03469513098006919
Alloalcanivorax xenomutans,0.005524661309084701,7,0.000789237329869243
Vibrio fortis,0.005107192530034801,9,0.0005674658366705334
Lughvirus lugh,0.0155062060370881,6,0.0025843676728480166
Ichthyobacterium seriolicida,0.0047197467871389,9,0.0005244163096821
Kosakonia cowanii,0.0099341068740684,12,0.0008278422395057001
Proteiniclasticum sp. QWL-01,0.0734285177836465,21,0.003496596084935547
Pandoraea commovens,0.008636337736428,11,0.0007851216124025454
Phycisphaera mikurensis,0.0063007835006517,11,0.0005727985000592454
Geobacter benzoatilyticus,0.0084391221648881,13,0.0006491632434529308
Kluyvera ascorbata,0.0053769705382459,6,0.0008961617563743167
Flavobacterium channae,0.007941625396773901,6,0.00132360423279565
Selenomonas timonae,0.0322888785040139,21,0.001537565643048281
Clostridium thermarum,0.055760419504579196,21,0.0026552580716466285
Alicyclobacillus sp. TC,0.0027624241358184,6,0.00046040402263639995
Streptomyces rimosus,0.008563807886715501,13,0.0006587544528242693
Candidatus Absconditicoccus praedator,0.0032504106718256,6,0.0005417351119709333
Jahgtovirus secundus,0.8311208444350053,9,0.09234676049277837
Acetobacterium sp. KB-1,0.0330035984393799,21,0.0015715999256847573
Solwaraspora sp. WMMD791,0.006671912100841,8,0.000833989012605125
Aeromonas jandaei,0.009154727636298701,9,0.0010171919595887446
Gracilibacillus salitolerans,0.014036512332369199,19,0.0007387638069667999
Salmonella bongori,0.0063053563856409,11,0.0005732142168764455
Brevundimonas nasdae,0.0148948682449076,7,0.002127838320701086
Mucilaginibacter sp. SJ,0.016337559689103796,15,0.001089170645940253
Hoyosella subflava,0.0031059776670865,6,0.0005176629445144167
Roseiflexus castenholzii,0.0082701740187676,12,0.0006891811682306334
Sinorhizobium fredii,0.0373580920671771,19,0.0019662153719566893
Synechococcus elongatus,0.0041236767720029,8,0.0005154595965003625
Nonomuraea gerenzanensis,0.018541808124099498,15,0.0012361205416066333
Nitratireductor mangrovi,0.0024061479238657,5,0.00048122958477314
Erythrobacter sp.,0.0104501841508379,14,0.0007464417250598501
Rhizobium sp. WYJ-E13,0.0039833835056481,6,0.0006638972509413499
Cytobacillus solani,0.0137116918721666,19,0.0007216679932719262
Streptomyces nojiriensis,0.007033527344157299,7,0.0010047896205939
Corynebacterium hansenii,0.0046783253069298,8,0.000584790663366225
Gallaecimonas mangrovi,0.0083787853108863,16,0.0005236740819303938
Morganella morganii,0.050102089242271095,21,0.0023858137734414806
Bermanella marisrubri,0.0033621364666308,5,0.00067242729332616
Polaribacter reichenbachii,0.010921612653570199,15,0.0007281075102380133
Brevibacterium linens,0.0062526137837557,7,0.0008932305405365286
Virgibacillus sp. Bac332,0.0143029345117443,6,0.0023838224186240498
Sphingobium sp. AntQ-1,0.0044273687370397,6,0.0007378947895066167
Segatella oris,0.18923594242979414,21,0.009011235353799722
Dehalogenimonas etheniformans,0.0075069482707163,12,0.0006255790225596917
Vibrio casei,0.0024606956215550996,5,0.00049213912431102
Jeotgalibaca dankookensis,0.0055097011804188,10,0.00055097011804188
Vibrio metschnikovii,0.0019806237093542,5,0.00039612474187083996
Pedobacter gandavensis,0.006636604792315799,9,0.0007374005324795332
Devosia sp. 1566,0.006655778333940701,13,0.0005119829487646693
Caulobacter soli,0.008811292367453101,11,0.0008010265788593728
Olivibacter sp. LS-1,0.010705263119523,17,0.0006297213599719412
Levilactobacillus brevis,0.020749250743354,20,0.0010374625371677
Bernardetia litoralis,0.017929288437267703,17,0.0010546640257216295
Beggiatoa leptomitoformis,0.011159731384749,18,0.0006199850769304999
Microbacterium foliorum,0.0075650057889753,7,0.001080715112710757
Vibrio sp. YMD68,0.0038321902048469,5,0.0007664380409693799
Aurantibacillus circumpalustris,0.010015849662371302,12,0.0008346541385309418
Mucilaginibacter sp. 21P,0.013472429409926103,13,0.0010363407238404695
Amphritea atlantica,0.0098041439693592,15,0.00065360959795728
uncultured Propionivibrio sp.,0.007007795174240999,13,0.0005390611672493076
Arthrobacter alpinus,0.022212268647287203,16,0.0013882667904554502
Thermochromatium tepidum,0.0029079572742627,5,0.00058159145485254
Paenibacillus physcomitrellae,0.0212583541541004,20,0.00106291770770502
Sediminicola sp. YIK13,0.0044458285358287,10,0.00044458285358287
Schaalia sp. JY-X169,0.0026037846396762005,6,0.00043396410661270007
Ferrimonas sp. SCSIO 43195,0.009053742031318202,12,0.0007544785026098502
Nakamurella panacisegetis,0.0057808283034808,10,0.0005780828303480801
Enterococcus avium,0.022873649760667497,20,0.0011436824880333748
Mucilaginibacter ginsenosidivorans,0.010037168085984502,15,0.0006691445390656335
Geomonas nitrogeniifigens,0.0071470853562359,11,0.0006497350323850818
Elusimicrobium minutum,0.0043935045478607,6,0.0007322507579767833
Halomonas sulfidivorans,0.007725026390371501,10,0.0007725026390371501
Lysobacter solisilvae,0.005930337780539601,10,0.0005930337780539601
Flavobacterium cerinum,0.005631667744356099,11,0.0005119697949414636
Pectobacterium polonicum,0.004260809161320599,6,0.0007101348602200999
Bacillus sp. FJAT-42376,0.0169410495346008,19,0.0008916341860316211
Pseudocnuella soli,0.006976204365669301,13,0.0005366311050514847
Komagataeibacter xylinus,0.013293211629730899,17,0.0007819536252782882
Mangrovimonas sp. YM274,0.0078921855008352,12,0.0006576821250695999
Actinomyces oris,0.0428154237259359,18,0.002378634651440883
Enterobacter sp. R4-368,0.0050249277841364,5,0.00100498555682728
Prevotella herbatica,0.0840356031868164,17,0.004943270775695082
Kosakonia sp. SMBL-WEM22,0.0045394756282383,6,0.0007565792713730501
Acidovorax sp. GBBC 1281,0.008174348248491399,7,0.0011677640354987712
Caldanaerobacter subterraneus,0.0127398431993081,15,0.0008493228799538733
Streptomyces sp. RTd22,0.0164593400905909,12,0.0013716116742159082
Tamlana carrageenivorans,0.0085284400624327,10,0.00085284400624327
Pseudoduganella plicata,0.0060021376312846,9,0.0006669041812538445
Curtobacterium sp. MCBD17_026,0.010227932221382099,6,0.0017046553702303499
Flavobacterium sp. LPB0248,0.0165282093610551,13,0.0012714007200811616
Nocardioides sp. S-1144,0.011352433880279601,13,0.0008732641446368924
Brachyspira murdochii,0.019279007240886097,16,0.001204937952555381
Propioniciclava sp. MC1595,0.0053900022016005016,9,0.0005988891335111669
Paracoccus yeei,0.0052478434040649,5,0.00104956868081298
Thiopseudomonas alkaliphila,0.0042002331808358,8,0.000525029147604475
Pseudoalteromonas piscicida,0.0080559171676512,6,0.0013426528612752
Xanthomonas prunicola,0.0030699829424303,6,0.0005116638237383834
Tissierella sp. Yu-01,0.022420420387601402,21,0.0010676390660762573
Desulfurivibrio alkaliphilus,0.006455516377063099,11,0.0005868651251875544
Bacillus paralicheniformis,0.0379160868211162,21,0.001805527943862676
Nocardioides marmorisolisilvae,0.0039663475148462995,8,0.0004957934393557874
Streptomyces sp. HUAS 15-9,0.0085558043239021,11,0.000777800393082009
Homo sapiens,4.273797952758251,21,0.20351418822658338
Cereibacter azotoformans,0.007058820960601999,12,0.0005882350800501666
Klebsiella huaxiensis,0.010672918641254199,16,0.0006670574150783874
Kocuria palustris,0.0030916379309268997,6,0.0005152729884878167
Saccharospirillum mangrovi,0.004901014629796601,9,0.0005445571810885111
Liquorilactobacillus hordei,0.013791649176949899,15,0.0009194432784633265
Enterococcus gallinarum,0.0036785542572989,5,0.0007357108514597801
Pseudodesulfovibrio nedwellii,0.0051111569265316,8,0.00063889461581645
Sphingomonas sp. So64.6b,0.0063679389772827,11,0.0005789035433893364
Acidihalobacter yilgarnensis,0.0042030776054561,9,0.0004670086228284555
Symbiopectobacterium purcellii,0.0038100980644687997,8,0.00047626225805859996
Fictibacillus arsenicus,0.010313358182762999,16,0.0006445848864226874
Halopseudomonas maritima,0.0045113394560909,7,0.0006444770651558428
Jannaschia sp. CCS1,0.004781881447078799,10,0.00047818814470787995
Microvirgula aerodenitrificans,0.011190715953401102,15,0.0007460477302267401
Streptomyces rapamycinicus,0.0048633989866123,8,0.0006079248733265375
Nocardioides sp. zg-1228,0.0070325112782918,10,0.00070325112782918
Desulfofarcimen acetoxidans,0.027005519058316697,21,0.0012859770980150809
Edaphobacter lichenicola,0.0028704607625922997,6,0.0004784101270987166
Halomonas socia,0.0032411140144561006,7,0.0004630162877794429
Shewanella maritima,0.0035387962080604,6,0.0005897993680100667
Cupriavidus pauculus,0.034903779342357596,20,0.0017451889671178799
Propionibacterium acidifaciens,0.0069103673911865,10,0.00069103673911865
Streptomyces decoyicus,0.0126254250161137,7,0.0018036321451591
Dactylosporangium roseum,0.0065233598729959,9,0.0007248177636662111
Spirosoma endbachense,0.008561281837410499,12,0.0007134401531175416
Pseudonocardia petroleophila,0.008595056118467798,13,0.0006611581629590614
Anaeromicropila herbilytica,0.1912842135998569,21,0.009108772076183661
Candidatus Methylacidiphilum infernorum,0.011730809372793199,14,0.0008379149551995143
Roseomonas marmotae,0.008455770700539602,10,0.0008455770700539602
Carnobacterium maltaromaticum,0.0206453041695625,20,0.001032265208478125
Paenibacillus brasilensis,0.0079820381385359,12,0.0006651698448779916
Erwinia tracheiphila,0.007246042868217501,11,0.0006587311698379546
Aureimonas sp. OT7,0.007769759095952599,7,0.0011099655851360857
Mannheimia haemolytica,0.010869500370420499,15,0.0007246333580280332
Toutatisvirus toutatis,0.09100046742597508,11,0.008272769765997735
Leptospira tipperaryensis,0.002260399493882,6,0.00037673324898033334
Pectobacterium actinidiae,0.0062193945173978004,6,0.0010365657528996334
Clostridium septicum,0.043393283392721395,21,0.0020663468282248283
Gulosibacter molinativorax,0.0026936259985855,6,0.0004489376664309167
Terrisporobacter hibernicus,0.054821509691548906,19,0.0028853426153446792
Rhizobium gei,0.0053730735307247,11,0.0004884612300658819
Geomonas sp. RF6,0.0078027268628471005,15,0.0005201817908564734
Pseudopedobacter saltans,0.0161564238015328,15,0.0010770949201021867
Caloramator sp. E03,0.044198621685768394,21,0.002104696270750876
Alicyclobacillus cycloheptanicus,0.014138892475032201,19,0.0007441522355280106
Colwellia sp. PAMC 21821,0.0026789414902549,5,0.00053578829805098
Shinella sp. PSBB067,0.0070309629514773,9,0.0007812181057197
Flavobacterium litorale,0.0031852296758471997,6,0.0005308716126412
Fusobacterium gonidiaformans,0.0182972281090108,16,0.001143576756813175
Algicella marina,0.0026119294483342,7,0.0003731327783334571
Mycolicibacterium thermoresistibile,0.0077781524069194,12,0.0006481793672432833
Paracoccus contaminans,0.0090759895784974,12,0.0007563324648747834
Paenibacillus sp. PSB04,0.0173991249634241,12,0.0014499270802853417
Amycolatopsis sp. YIM 10,0.012439143383411297,16,0.0007774464614632061
Pedobacter mucosus,0.012522035074151899,16,0.0007826271921344937
Brochothrix thermosphacta,0.014192912434317402,18,0.0007884951352398556
Deinococcus rubellus,0.0052144144933287005,11,0.0004740376812117
Bacillus rugosus,0.002787084351129,5,0.0005574168702258
Campylobacter helveticus,0.0048591250812634,8,0.000607390635157925
Microlunatus sagamiharensis,0.0036905135771089998,7,0.0005272162253012857
Gemella sp. zg-570,0.0266083365704886,18,0.0014782409205827
Treponema pedis,0.023069240843649797,21,0.001098535278269038
Fusobacterium varium,2.0072542840492607,21,0.09558353733567908
Sutterella wadsworthensis,5.006148778482022,21,0.2383880370705725
Streptomyces durmitorensis,0.010146157973661899,15,0.0006764105315774599
Stappia indica,0.0062727887762023,8,0.0007840985970252875
Blautia hydrogenotrophica,1.2339238500992022,21,0.05875827857615249
Erysipelothrix sp. HDW6B,0.0068982345219456,12,0.0005748528768288
Caldicellulosiruptor danielii,0.0165247113737975,17,0.0009720418455175001
Prochlorococcus marinus,0.06791035845953951,21,0.003233826593311405
Capillimicrobium parvum,0.008306566018660899,13,0.0006389666168200691
Thermincola potens,0.016220568445296,21,0.0007724080212045713
Romboutsia hominis,0.05255931498982821,20,0.0026279657494914102
Gordonia bronchialis,0.0052617092921724,9,0.0005846343657969333
Shimwellia blattae,0.0062066557617025,11,0.0005642414328820455
Duncaniella dubosii,0.11365040555569922,21,0.005411924074080915
Sporosarcina sp. 0.2-SM1T-5,0.012256786751137998,16,0.0007660491719461249
Entomomonas moraniae,0.0044479607576276,8,0.00055599509470345
Mongoliitalea daihaiensis,0.0078795100029458,14,0.0005628221430675571
Microbulbifer sp. MI-G,0.0022288201140081,5,0.00044576402280162004
Azospirillum sp. TSH100,0.0133028600249348,16,0.000831428751558425
Agromyces marinus,0.0041475586456669,7,0.0005925083779524143
Nocardioides panacis,0.005243350278075199,10,0.0005243350278075199
Mycoplasma feriruminatoris,0.0054610227908872,9,0.0006067803100985778
Effusibacillus dendaii,0.011478690713575001,17,0.0006752171007985294
Mycoplasmopsis californica,0.006286912279664701,10,0.00062869122796647
Methylomonas sp. LW13,0.0064743700411398,8,0.000809296255142475
Arthrobacter polaris,0.008036276272697,7,0.001148039467528143
Pedobacter sp.,0.021094303048716994,20,0.0010547151524358497
Vibrio ruber,0.0069470720238802,16,0.0004341920014925125
Brucella intermedia,0.0205546562853187,16,0.0012846660178324188
Kurthia zopfii,0.0098950021989882,14,0.0007067858713563
Ignavibacterium album,0.0142620117676946,16,0.0008913757354809125
Bacillus sp. NEB1478,0.0147185079132714,19,0.0007746583112248105
[Ruminococcus] lactaris,3.2557828946012286,21,0.1550372806952966
Flavobacterium aquiphilum,0.008589928054237599,13,0.0006607636964798153
Pantoea dispersa,0.0145827336207552,18,0.0008101518678197333
Photobacterium sanguinicancri,0.0021958636782508003,5,0.0004391727356501601
Bremerella volcania,0.011012093963610999,15,0.0007341395975740666
Salicibibacter cibarius,0.009946446752030198,17,0.0005850851030605999
Myxococcus landrumus,0.010413939402865202,15,0.0006942626268576801
Photobacterium sp. CCB-ST2H9,0.0015160792283802,5,0.00030321584567604
Candidatus Kuenenia stuttgartiensis,0.0075615762664481,15,0.0005041050844298734
Akkermansia sp. N21116,0.0101946108587083,19,0.0005365584662478053
Candidatus Planktophila sulfonica,0.0052244522435086,7,0.0007463503205012285
Sphingomonas sp. NIBR02145,0.0047588005489803,7,0.0006798286498543286
Mesobacillus foraminis,0.019991586612764803,21,0.000951980314893562
Photobacterium profundum,0.0028305278334359,6,0.0004717546389059833
Elizabethkingia ursingii,0.017906096381677703,17,0.0010532997871575119
Runella sp. SP2,0.006374635729584701,8,0.0007968294661980876
Terricaulis silvestris,0.0039981569643845,5,0.0007996313928769
Rhizobium ruizarguesonis,0.0102862851605013,11,0.0009351168327728455
Methylosinus trichosporium,0.008191764127129401,15,0.0005461176084752934
Neisseria dumasiana,0.0093117748299615,11,0.0008465249845419546
Trichococcus shcherbakoviae,0.0150618815726385,17,0.0008859930336846177
Streptomyces sp. YIM 121038,0.013181359024980303,15,0.0008787572683320202
Moorena producens,0.010017704853691401,17,0.0005892767560994942
Kovacikia minuta,0.008403436848450302,9,0.0009337152053833669
Paenibacillus sp. FSL H7-0737,0.0191538089604616,18,0.0010641004978034223
Halobacillus mangrovi,0.011843128287505097,17,0.0006966546051473587
Bacillus sp. Y1,0.022749038184286096,17,0.0013381787167227115
Paenibacillus peoriae,0.0490416530101566,13,0.0037724348469351235
